測定順,ラベル,入力ファイル,8ビット組位置,受信順8ビット,MSB十進数,MSB十六進数,LSB十進数,LSB十六進数
1,10_bits,タイマー\入りタイマー_バイナリ\10_bits.txt,12,01000100,68,0x44,34,0x22
1,10_bits,タイマー\入りタイマー_バイナリ\10_bits.txt,13,10111011,187,0xBB,221,0xDD
1,10_bits,タイマー\入りタイマー_バイナリ\10_bits.txt,22,00111000,56,0x38,28,0x1C
1,10_bits,タイマー\入りタイマー_バイナリ\10_bits.txt,23,11000111,199,0xC7,227,0xE3
1,10_bits,タイマー\入りタイマー_バイナリ\10_bits.txt,24,01000100,68,0x44,34,0x22
1,10_bits,タイマー\入りタイマー_バイナリ\10_bits.txt,25,10111011,187,0xBB,221,0xDD
2,11_bits,タイマー\入りタイマー_バイナリ\11_bits.txt,12,01000100,68,0x44,34,0x22
2,11_bits,タイマー\入りタイマー_バイナリ\11_bits.txt,13,10111011,187,0xBB,221,0xDD
2,11_bits,タイマー\入りタイマー_バイナリ\11_bits.txt,22,00011010,26,0x1A,88,0x58
2,11_bits,タイマー\入りタイマー_バイナリ\11_bits.txt,23,11100101,229,0xE5,167,0xA7
2,11_bits,タイマー\入りタイマー_バイナリ\11_bits.txt,24,01000100,68,0x44,34,0x22
2,11_bits,タイマー\入りタイマー_バイナリ\11_bits.txt,25,10111011,187,0xBB,221,0xDD
3,12_bits,タイマー\入りタイマー_バイナリ\12_bits.txt,12,01000100,68,0x44,34,0x22
3,12_bits,タイマー\入りタイマー_バイナリ\12_bits.txt,13,10111011,187,0xBB,221,0xDD
3,12_bits,タイマー\入りタイマー_バイナリ\12_bits.txt,22,00101001,41,0x29,148,0x94
3,12_bits,タイマー\入りタイマー_バイナリ\12_bits.txt,23,11010110,214,0xD6,107,0x6B
3,12_bits,タイマー\入りタイマー_バイナリ\12_bits.txt,24,01000100,68,0x44,34,0x22
3,12_bits,タイマー\入りタイマー_バイナリ\12_bits.txt,25,10111011,187,0xBB,221,0xDD
4,13_bits,タイマー\入りタイマー_バイナリ\13_bits.txt,12,01000100,68,0x44,34,0x22
4,13_bits,タイマー\入りタイマー_バイナリ\13_bits.txt,13,10111011,187,0xBB,221,0xDD
4,13_bits,タイマー\入りタイマー_バイナリ\13_bits.txt,22,00001011,11,0x0B,208,0xD0
4,13_bits,タイマー\入りタイマー_バイナリ\13_bits.txt,23,11110100,244,0xF4,47,0x2F
4,13_bits,タイマー\入りタイマー_バイナリ\13_bits.txt,24,01000100,68,0x44,34,0x22
4,13_bits,タイマー\入りタイマー_バイナリ\13_bits.txt,25,10111011,187,0xBB,221,0xDD
5,14_bits,タイマー\入りタイマー_バイナリ\14_bits.txt,12,00100100,36,0x24,36,0x24
5,14_bits,タイマー\入りタイマー_バイナリ\14_bits.txt,13,11011011,219,0xDB,219,0xDB
5,14_bits,タイマー\入りタイマー_バイナリ\14_bits.txt,22,00000000,0,0x00,0,0x00
5,14_bits,タイマー\入りタイマー_バイナリ\14_bits.txt,23,11111111,255,0xFF,255,0xFF
5,14_bits,タイマー\入りタイマー_バイナリ\14_bits.txt,24,00000000,0,0x00,0,0x00
5,14_bits,タイマー\入りタイマー_バイナリ\14_bits.txt,25,11111111,255,0xFF,255,0xFF
6,1_bits,タイマー\入りタイマー_バイナリ\1_bits.txt,12,01000100,68,0x44,34,0x22
6,1_bits,タイマー\入りタイマー_バイナリ\1_bits.txt,13,10111011,187,0xBB,221,0xDD
6,1_bits,タイマー\入りタイマー_バイナリ\1_bits.txt,22,01111000,120,0x78,30,0x1E
6,1_bits,タイマー\入りタイマー_バイナリ\1_bits.txt,23,10000111,135,0x87,225,0xE1
6,1_bits,タイマー\入りタイマー_バイナリ\1_bits.txt,24,00000100,4,0x04,32,0x20
6,1_bits,タイマー\入りタイマー_バイナリ\1_bits.txt,25,11111011,251,0xFB,223,0xDF
7,2_bits,タイマー\入りタイマー_バイナリ\2_bits.txt,12,01000100,68,0x44,34,0x22
7,2_bits,タイマー\入りタイマー_バイナリ\2_bits.txt,13,10111011,187,0xBB,221,0xDD
7,2_bits,タイマー\入りタイマー_バイナリ\2_bits.txt,22,00111100,60,0x3C,60,0x3C
7,2_bits,タイマー\入りタイマー_バイナリ\2_bits.txt,23,11000011,195,0xC3,195,0xC3
7,2_bits,タイマー\入りタイマー_バイナリ\2_bits.txt,24,00000100,4,0x04,32,0x20
7,2_bits,タイマー\入りタイマー_バイナリ\2_bits.txt,25,11111011,251,0xFB,223,0xDF
8,3_bits,タイマー\入りタイマー_バイナリ\3_bits.txt,12,01000100,68,0x44,34,0x22
8,3_bits,タイマー\入りタイマー_バイナリ\3_bits.txt,13,10111011,187,0xBB,221,0xDD
8,3_bits,タイマー\入りタイマー_バイナリ\3_bits.txt,22,00011110,30,0x1E,120,0x78
8,3_bits,タイマー\入りタイマー_バイナリ\3_bits.txt,23,11100001,225,0xE1,135,0x87
8,3_bits,タイマー\入りタイマー_バイナリ\3_bits.txt,24,00000100,4,0x04,32,0x20
8,3_bits,タイマー\入りタイマー_バイナリ\3_bits.txt,25,11111011,251,0xFB,223,0xDF
9,4_bits,タイマー\入りタイマー_バイナリ\4_bits.txt,12,01000100,68,0x44,34,0x22
9,4_bits,タイマー\入りタイマー_バイナリ\4_bits.txt,13,10111011,187,0xBB,221,0xDD
9,4_bits,タイマー\入りタイマー_バイナリ\4_bits.txt,22,00101101,45,0x2D,180,0xB4
9,4_bits,タイマー\入りタイマー_バイナリ\4_bits.txt,23,11010010,210,0xD2,75,0x4B
9,4_bits,タイマー\入りタイマー_バイナリ\4_bits.txt,24,00000100,4,0x04,32,0x20
9,4_bits,タイマー\入りタイマー_バイナリ\4_bits.txt,25,11111011,251,0xFB,223,0xDF
10,5_bits,タイマー\入りタイマー_バイナリ\5_bits.txt,12,01000100,68,0x44,34,0x22
10,5_bits,タイマー\入りタイマー_バイナリ\5_bits.txt,13,10111011,187,0xBB,221,0xDD
10,5_bits,タイマー\入りタイマー_バイナリ\5_bits.txt,22,00001111,15,0x0F,240,0xF0
10,5_bits,タイマー\入りタイマー_バイナリ\5_bits.txt,23,11110000,240,0xF0,15,0x0F
10,5_bits,タイマー\入りタイマー_バイナリ\5_bits.txt,24,00000100,4,0x04,32,0x20
10,5_bits,タイマー\入りタイマー_バイナリ\5_bits.txt,25,11111011,251,0xFB,223,0xDF
11,6_bits,タイマー\入りタイマー_バイナリ\6_bits.txt,12,01000100,68,0x44,34,0x22
11,6_bits,タイマー\入りタイマー_バイナリ\6_bits.txt,13,10111011,187,0xBB,221,0xDD
11,6_bits,タイマー\入りタイマー_バイナリ\6_bits.txt,22,00110100,52,0x34,44,0x2C
11,6_bits,タイマー\入りタイマー_バイナリ\6_bits.txt,23,11001011,203,0xCB,211,0xD3
11,6_bits,タイマー\入りタイマー_バイナリ\6_bits.txt,24,10000100,132,0x84,33,0x21
11,6_bits,タイマー\入りタイマー_バイナリ\6_bits.txt,25,01111011,123,0x7B,222,0xDE
12,7_bits,タイマー\入りタイマー_バイナリ\7_bits.txt,12,01000100,68,0x44,34,0x22
12,7_bits,タイマー\入りタイマー_バイナリ\7_bits.txt,13,10111011,187,0xBB,221,0xDD
12,7_bits,タイマー\入りタイマー_バイナリ\7_bits.txt,22,00010110,22,0x16,104,0x68
12,7_bits,タイマー\入りタイマー_バイナリ\7_bits.txt,23,11101001,233,0xE9,151,0x97
12,7_bits,タイマー\入りタイマー_バイナリ\7_bits.txt,24,10000100,132,0x84,33,0x21
12,7_bits,タイマー\入りタイマー_バイナリ\7_bits.txt,25,01111011,123,0x7B,222,0xDE
13,8_bits,タイマー\入りタイマー_バイナリ\8_bits.txt,12,01000100,68,0x44,34,0x22
13,8_bits,タイマー\入りタイマー_バイナリ\8_bits.txt,13,10111011,187,0xBB,221,0xDD
13,8_bits,タイマー\入りタイマー_バイナリ\8_bits.txt,22,00100101,37,0x25,164,0xA4
13,8_bits,タイマー\入りタイマー_バイナリ\8_bits.txt,23,11011010,218,0xDA,91,0x5B
13,8_bits,タイマー\入りタイマー_バイナリ\8_bits.txt,24,10000100,132,0x84,33,0x21
13,8_bits,タイマー\入りタイマー_バイナリ\8_bits.txt,25,01111011,123,0x7B,222,0xDE
14,9_bits,タイマー\入りタイマー_バイナリ\9_bits.txt,12,01000100,68,0x44,34,0x22
14,9_bits,タイマー\入りタイマー_バイナリ\9_bits.txt,13,10111011,187,0xBB,221,0xDD
14,9_bits,タイマー\入りタイマー_バイナリ\9_bits.txt,22,00000111,7,0x07,224,0xE0
14,9_bits,タイマー\入りタイマー_バイナリ\9_bits.txt,23,11111000,248,0xF8,31,0x1F
14,9_bits,タイマー\入りタイマー_バイナリ\9_bits.txt,24,10000100,132,0x84,33,0x21
14,9_bits,タイマー\入りタイマー_バイナリ\9_bits.txt,25,01111011,123,0x7B,222,0xDE
