測定順,ラベル,入力ファイル,8ビット組位置,受信順8ビット,MSB十進数,MSB十六進数,LSB十進数,LSB十六進数
1,10_bits,タイマー\切りタイマー_バイナリ\10_bits.txt,12,01000100,68,0x44,34,0x22
1,10_bits,タイマー\切りタイマー_バイナリ\10_bits.txt,13,10111011,187,0xBB,221,0xDD
1,10_bits,タイマー\切りタイマー_バイナリ\10_bits.txt,18,00000011,3,0x03,192,0xC0
1,10_bits,タイマー\切りタイマー_バイナリ\10_bits.txt,19,11111100,252,0xFC,63,0x3F
1,10_bits,タイマー\切りタイマー_バイナリ\10_bits.txt,20,10000100,132,0x84,33,0x21
1,10_bits,タイマー\切りタイマー_バイナリ\10_bits.txt,21,01111011,123,0x7B,222,0xDE
1,10_bits,タイマー\切りタイマー_バイナリ\10_bits.txt,24,00001000,8,0x08,16,0x10
1,10_bits,タイマー\切りタイマー_バイナリ\10_bits.txt,25,11110111,247,0xF7,239,0xEF
2,11_bits,タイマー\切りタイマー_バイナリ\11_bits.txt,12,00100100,36,0x24,36,0x24
2,11_bits,タイマー\切りタイマー_バイナリ\11_bits.txt,13,11011011,219,0xDB,219,0xDB
2,11_bits,タイマー\切りタイマー_バイナリ\11_bits.txt,18,00000000,0,0x00,0,0x00
2,11_bits,タイマー\切りタイマー_バイナリ\11_bits.txt,19,11111111,255,0xFF,255,0xFF
2,11_bits,タイマー\切りタイマー_バイナリ\11_bits.txt,20,00000000,0,0x00,0,0x00
2,11_bits,タイマー\切りタイマー_バイナリ\11_bits.txt,21,11111111,255,0xFF,255,0xFF
2,11_bits,タイマー\切りタイマー_バイナリ\11_bits.txt,24,00000000,0,0x00,0,0x00
2,11_bits,タイマー\切りタイマー_バイナリ\11_bits.txt,25,11111111,255,0xFF,255,0xFF
3,1_bits,タイマー\切りタイマー_バイナリ\1_bits.txt,12,01000100,68,0x44,34,0x22
3,1_bits,タイマー\切りタイマー_バイナリ\1_bits.txt,13,10111011,187,0xBB,221,0xDD
3,1_bits,タイマー\切りタイマー_バイナリ\1_bits.txt,18,00000111,7,0x07,224,0xE0
3,1_bits,タイマー\切りタイマー_バイナリ\1_bits.txt,19,11111000,248,0xF8,31,0x1F
3,1_bits,タイマー\切りタイマー_バイナリ\1_bits.txt,20,10000000,128,0x80,1,0x01
3,1_bits,タイマー\切りタイマー_バイナリ\1_bits.txt,21,01111111,127,0x7F,254,0xFE
3,1_bits,タイマー\切りタイマー_バイナリ\1_bits.txt,24,00001000,8,0x08,16,0x10
3,1_bits,タイマー\切りタイマー_バイナリ\1_bits.txt,25,11110111,247,0xF7,239,0xEF
4,2_bits,タイマー\切りタイマー_バイナリ\2_bits.txt,12,01000100,68,0x44,34,0x22
4,2_bits,タイマー\切りタイマー_バイナリ\2_bits.txt,13,10111011,187,0xBB,221,0xDD
4,2_bits,タイマー\切りタイマー_バイナリ\2_bits.txt,18,00000011,3,0x03,192,0xC0
4,2_bits,タイマー\切りタイマー_バイナリ\2_bits.txt,19,11111100,252,0xFC,63,0x3F
4,2_bits,タイマー\切りタイマー_バイナリ\2_bits.txt,20,11000000,192,0xC0,3,0x03
4,2_bits,タイマー\切りタイマー_バイナリ\2_bits.txt,21,00111111,63,0x3F,252,0xFC
4,2_bits,タイマー\切りタイマー_バイナリ\2_bits.txt,24,00001000,8,0x08,16,0x10
4,2_bits,タイマー\切りタイマー_バイナリ\2_bits.txt,25,11110111,247,0xF7,239,0xEF
5,3_bits,タイマー\切りタイマー_バイナリ\3_bits.txt,12,01000100,68,0x44,34,0x22
5,3_bits,タイマー\切りタイマー_バイナリ\3_bits.txt,13,10111011,187,0xBB,221,0xDD
5,3_bits,タイマー\切りタイマー_バイナリ\3_bits.txt,18,00000001,1,0x01,128,0x80
5,3_bits,タイマー\切りタイマー_バイナリ\3_bits.txt,19,11111110,254,0xFE,127,0x7F
5,3_bits,タイマー\切りタイマー_バイナリ\3_bits.txt,20,11100000,224,0xE0,7,0x07
5,3_bits,タイマー\切りタイマー_バイナリ\3_bits.txt,21,00011111,31,0x1F,248,0xF8
5,3_bits,タイマー\切りタイマー_バイナリ\3_bits.txt,24,00001000,8,0x08,16,0x10
5,3_bits,タイマー\切りタイマー_バイナリ\3_bits.txt,25,11110111,247,0xF7,239,0xEF
6,4_bits,タイマー\切りタイマー_バイナリ\4_bits.txt,12,01000100,68,0x44,34,0x22
6,4_bits,タイマー\切りタイマー_バイナリ\4_bits.txt,13,10111011,187,0xBB,221,0xDD
6,4_bits,タイマー\切りタイマー_バイナリ\4_bits.txt,18,00000010,2,0x02,64,0x40
6,4_bits,タイマー\切りタイマー_バイナリ\4_bits.txt,19,11111101,253,0xFD,191,0xBF
6,4_bits,タイマー\切りタイマー_バイナリ\4_bits.txt,20,11010000,208,0xD0,11,0x0B
6,4_bits,タイマー\切りタイマー_バイナリ\4_bits.txt,21,00101111,47,0x2F,244,0xF4
6,4_bits,タイマー\切りタイマー_バイナリ\4_bits.txt,24,00001000,8,0x08,16,0x10
6,4_bits,タイマー\切りタイマー_バイナリ\4_bits.txt,25,11110111,247,0xF7,239,0xEF
7,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,12,01000100,68,0x44,34,0x22
7,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,13,10111011,187,0xBB,221,0xDD
7,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,18,00000000,0,0x00,0,0x00
7,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,19,11111111,255,0xFF,255,0xFF
7,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,20,11110000,240,0xF0,15,0x0F
7,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,21,00001111,15,0x0F,240,0xF0
7,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,24,00001000,8,0x08,16,0x10
7,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,25,11110111,247,0xF7,239,0xEF
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,12,01000100,68,0x44,34,0x22
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,13,10111011,187,0xBB,221,0xDD
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,18,00000011,3,0x03,192,0xC0
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,19,11111100,252,0xFC,63,0x3F
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,20,01001000,72,0x48,18,0x12
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,21,10110111,183,0xB7,237,0xED
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,24,00001000,8,0x08,16,0x10
8,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,25,11110111,247,0xF7,239,0xEF
9,7_bits,タイマー\切りタイマー_バイナリ\7_bits.txt,12,01000100,68,0x44,34,0x22
