測定順,ラベル,入力ファイル,8ビット組位置,受信順8ビット,MSB十進数,MSB十六進数,LSB十進数,LSB十六進数
1,1_bits,タイマー\切りタイマー_バイナリ\1_bits.txt,18,00000111,7,0x07,224,0xE0
1,1_bits,タイマー\切りタイマー_バイナリ\1_bits.txt,19,11111000,248,0xF8,31,0x1F
1,1_bits,タイマー\切りタイマー_バイナリ\1_bits.txt,20,10000000,128,0x80,1,0x01
1,1_bits,タイマー\切りタイマー_バイナリ\1_bits.txt,21,01111111,127,0x7F,254,0xFE
2,2_bits,タイマー\切りタイマー_バイナリ\2_bits.txt,18,00000011,3,0x03,192,0xC0
2,2_bits,タイマー\切りタイマー_バイナリ\2_bits.txt,19,11111100,252,0xFC,63,0x3F
2,2_bits,タイマー\切りタイマー_バイナリ\2_bits.txt,20,11000000,192,0xC0,3,0x03
2,2_bits,タイマー\切りタイマー_バイナリ\2_bits.txt,21,00111111,63,0x3F,252,0xFC
4,4_bits,タイマー\切りタイマー_バイナリ\4_bits.txt,18,00000010,2,0x02,64,0x40
4,4_bits,タイマー\切りタイマー_バイナリ\4_bits.txt,19,11111101,253,0xFD,191,0xBF
4,4_bits,タイマー\切りタイマー_バイナリ\4_bits.txt,20,11010000,208,0xD0,11,0x0B
4,4_bits,タイマー\切りタイマー_バイナリ\4_bits.txt,21,00101111,47,0x2F,244,0xF4
5,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,18,00000000,0,0x00,0,0x00
5,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,19,11111111,255,0xFF,255,0xFF
5,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,20,11110000,240,0xF0,15,0x0F
5,5_bits,タイマー\切りタイマー_バイナリ\5_bits.txt,21,00001111,15,0x0F,240,0xF0
6,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,18,00000011,3,0x03,192,0xC0
6,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,19,11111100,252,0xFC,63,0x3F
6,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,20,01001000,72,0x48,18,0x12
6,6_bits,タイマー\切りタイマー_バイナリ\6_bits.txt,21,10110111,183,0xB7,237,0xED
7,7_bits,タイマー\切りタイマー_バイナリ\7_bits.txt,18,00000001,1,0x01,128,0x80
7,7_bits,タイマー\切りタイマー_バイナリ\7_bits.txt,19,11111110,254,0xFE,127,0x7F
7,7_bits,タイマー\切りタイマー_バイナリ\7_bits.txt,20,01101000,104,0x68,22,0x16
7,7_bits,タイマー\切りタイマー_バイナリ\7_bits.txt,21,10010111,151,0x97,233,0xE9
8,8_bits,タイマー\切りタイマー_バイナリ\8_bits.txt,18,00000010,2,0x02,64,0x40
8,8_bits,タイマー\切りタイマー_バイナリ\8_bits.txt,19,11111101,253,0xFD,191,0xBF
8,8_bits,タイマー\切りタイマー_バイナリ\8_bits.txt,20,01011000,88,0x58,26,0x1A
8,8_bits,タイマー\切りタイマー_バイナリ\8_bits.txt,21,10100111,167,0xA7,229,0xE5
9,9_bits,タイマー\切りタイマー_バイナリ\9_bits.txt,18,00000000,0,0x00,0,0x00
9,9_bits,タイマー\切りタイマー_バイナリ\9_bits.txt,19,11111111,255,0xFF,255,0xFF
9,9_bits,タイマー\切りタイマー_バイナリ\9_bits.txt,20,01111000,120,0x78,30,0x1E
9,9_bits,タイマー\切りタイマー_バイナリ\9_bits.txt,21,10000111,135,0x87,225,0xE1
11,Reset_bits,タイマー\切りタイマー_バイナリ\Reset_bits.txt,18,00000011,3,0x03,192,0xC0
11,Reset_bits,タイマー\切りタイマー_バイナリ\Reset_bits.txt,19,11111100,252,0xFC,63,0x3F
11,Reset_bits,タイマー\切りタイマー_バイナリ\Reset_bits.txt,20,10000100,132,0x84,33,0x21
11,Reset_bits,タイマー\切りタイマー_バイナリ\Reset_bits.txt,21,01111011,123,0x7B,222,0xDE
